+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | devise.failure.last_attempt                                                  | You have one more attempt before your account is locked.                                                                                                                                                                                                                                                                                                     |
| pt_BR  | devise.sessions.already_signed_out                                           | Signed out successfully.                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | diploma                                                                      | Diploma                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | errors.format                                                                | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | errors.messages.accepted                                                     | tem de ser aceite                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | errors.messages.after                                                        | must be after %{restriction}                                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | errors.messages.before                                                       | must be before %{restriction}                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | errors.messages.blank                                                        | tem que constar                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | errors.messages.confirmation                                                 | não coincide com a confirmação                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | errors.messages.empty                                                        | não pode estar vazio                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | errors.messages.equal_to                                                     | tem de ser igual a %{count}                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | errors.messages.even                                                         | tem de ser par                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | errors.messages.exclusion                                                    | é reservado                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | errors.messages.greater_than                                                 | tem de ser maior que %{count}                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | errors.messages.greater_than_or_equal_to                                     | tem de ser maior ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | errors.messages.inclusion                                                    | não está incluído na lista                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | errors.messages.invalid                                                      | é inválido                                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | errors.messages.invalid_date                                                 | is not a valid date                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | errors.messages.invalid_datetime                                             | is not a valid datetime                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | errors.messages.invalid_time                                                 | is not a valid time                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | errors.messages.is_at                                                        | must be at %{restriction}                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | errors.messages.less_than                                                    | tem de ser menor que %{count}                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | errors.messages.less_than_or_equal_to                                        | tem de ser menor ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | errors.messages.not_a_number                                                 | não é um numeral                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | errors.messages.not_an_integer                                               | tem de ser um inteiro                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | errors.messages.odd                                                          | tem de ser ímpar                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | errors.messages.on_or_after                                                  | must be on or after %{restriction}                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | errors.messages.on_or_before                                                 | must be on or before %{restriction}                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | errors.messages.record_invalid                                               | A validação falhou: %{errors}                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | errors.messages.taken                                                        | não está disponível (pois este dado já consta do sistema)                                                                                                                                                                                                                                                                                                    |
| pt_BR  | errors.messages.too_long                                                     | é demasiado grande (o máximo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                       |
| pt_BR  | errors.messages.too_short                                                    | é demasiado pequeno (o mínimo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                      |
| pt_BR  | errors.messages.wrong_length                                                 | comprimento errado (deve ter %{count} caracteres)                                                                                                                                                                                                                                                                                                            |
| pt_BR  | errors.template.body                                                         | Por favor, verifique os seguintes campos:                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | errors.template.header.one                                                   | Não foi possível guardar %{model}: 1 erro                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | errors.template.header.other                                                 | Não foi possível guardar %{model}: %{count} erros                                                                                                                                                                                                                                                                                                            |
| pt_BR  | file_not_generated_yet                                                       | Aviso: ainda não foi gerado (ou regerado) o arquivo.                                                                                                                                                                                                                                                                                                         |
| pt_BR  | hello                                                                        | Hello world                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | helpers.select.prompt                                                        | Por favor selecione                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | helpers.submit.create                                                        | Criar %{model}                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | helpers.submit.submit                                                        | Gravar %{model}                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | helpers.submit.update                                                        | Atualizar %{model}                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | my_program_info                                                              | My program info                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | new_program                                                                  | Novo programa                                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | next_available_id                                                            | próximo identificador disponível                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | next_available_program_id                                                    | Próximo identificador de programa disponível                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | next_year_program_preparation_guide                                          | Guia de preparo dos programas do próximo ano                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | no_programs_found                                                            | No programs found                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | normal                                                                       | Normal                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | number.currency.format.delimiter                                             | .                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.currency.format.format                                                | %u%n                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | number.currency.format.separator                                             | ,                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.currency.format.unit                                                  | R$                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | number.format.delimiter                                                      | .                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.format.separator                                                      | ,                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.human.decimal_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | number.human.decimal_units.units.billion.one                                 | bilhão                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | number.human.decimal_units.units.billion.other                               | bilhões                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | number.human.decimal_units.units.million.one                                 | milhão                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | number.human.decimal_units.units.million.other                               | milhões                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | number.human.decimal_units.units.quadrillion.one                             | quadrilhão                                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | number.human.decimal_units.units.quadrillion.other                           | quadrilhões                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | number.human.decimal_units.units.thousand                                    | mil                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | number.human.decimal_units.units.trillion.one                                | trilhão                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | number.human.decimal_units.units.trillion.other                              | trilhões                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | number.human.storage_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | number.human.storage_units.units.byte.one                                    | Byte                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | number.human.storage_units.units.byte.other                                  | Bytes                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | number.human.storage_units.units.gb                                          | GB                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | number.human.storage_units.units.kb                                          | KB                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | number.human.storage_units.units.mb                                          | MB                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | number.human.storage_units.units.tb                                          | TB                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | number_of_programs_by_institution                                            | número de programas por instituição                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | ordinal.eighth                                                               | Oitavo                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | ordinal.fifth                                                                | Quinto                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | ordinal.first                                                                | Primeiro                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | ordinal.fourth                                                               | Quarto                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | ordinal.ninth                                                                | Nono                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | ordinal.second                                                               | Segundo                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | ordinal.seventh                                                              | Sétimo                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | ordinal.sixth                                                                | Sexto                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | ordinal.third                                                                | Terceiro                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | please_check                                                                 | favor verificar                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | ransack.and                                                                  | e                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | scholarship_contract                                                         | Scholarship contract                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | student_removal_lock.registration                                            | A remoção do bolsista não é permitida se já tiver sido matriculado.                                                                                                                                                                                                                                                                                          |
| pt_BR  | subtotal                                                                     | subtotal                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | support.array.last_word_connector                                            | , e                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | support.array.two_words_connector                                            | e                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | support.array.words_connector                                                | ,                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | table                                                                        | tabela                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | time.am                                                                      | am                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | time.formats.compact                                                         | %d/%b/%y, %H:%M:%S                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | time.formats.default                                                         | %A, %d de %B de %Y, %H:%Mh                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | time.formats.full                                                            | %A, %d de %B de %Y, %H:%M:%S                                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | time.formats.hms                                                             | %H:%M:%S                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | time.formats.long                                                            | %A, %d de %B de %Y, %H:%Mh                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | time.formats.short                                                           | %d/%m, %H:%M hs                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | time.pm                                                                      | pm                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | to                                                                           | a                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | total                                                                        | total                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | tutorial                                                                     | Tutorial                                                                                                                                                                                                                                                                                                                                                     |
