+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                               | Value in other locales or source                                                                                                                                                                                           |
| pt_BR  | actions.my.fp                                     | en my                                                                                                                                                                                                                      |
| pt_BR  | actions.my.mp                                     | en my                                                                                                                                                                                                                      |
| pt_BR  | actions.new2.f                                    | en new                                                                                                                                                                                                                     |
| pt_BR  | actions.new2.m                                    | en new                                                                                                                                                                                                                     |
| pt_BR  | actions.none.f                                    | en None                                                                                                                                                                                                                    |
| pt_BR  | actions.none.m                                    | en None                                                                                                                                                                                                                    |
| pt_BR  | actions.noun.edit                                 | en Edit                                                                                                                                                                                                                    |
| pt_BR  | actions.noun.update                               | en Update                                                                                                                                                                                                                  |
| pt_BR  | actions.num_veterans.pap                          | en Matriculated students expected to continue with their programs (whose duration > 1 year)                                                                                                                                |
| pt_BR  | actions.of.f                                      | en of                                                                                                                                                                                                                      |
| pt_BR  | actions.of.m                                      | en of                                                                                                                                                                                                                      |
| pt_BR  | actions.of.n                                      | en of                                                                                                                                                                                                                      |
| pt_BR  | actions.ordinal.1                                 | en First                                                                                                                                                                                                                   |
| pt_BR  | actions.ordinal.10                                | en Tenth                                                                                                                                                                                                                   |
| pt_BR  | actions.ordinal.2                                 | en Second                                                                                                                                                                                                                  |
| pt_BR  | actions.ordinal.3                                 | en Third                                                                                                                                                                                                                   |
| pt_BR  | actions.ordinal.4                                 | en Fourth                                                                                                                                                                                                                  |
| pt_BR  | actions.ordinal.5                                 | en Fifth                                                                                                                                                                                                                   |
| pt_BR  | actions.ordinal.6                                 | en Sixth                                                                                                                                                                                                                   |
| pt_BR  | actions.ordinal.7                                 | en Seventh                                                                                                                                                                                                                 |
| pt_BR  | actions.ordinal.8                                 | en Eight                                                                                                                                                                                                                   |
| pt_BR  | actions.ordinal.9                                 | en Ninth                                                                                                                                                                                                                   |
| pt_BR  | actions.other.f                                   | en other                                                                                                                                                                                                                   |
| pt_BR  | actions.other.m                                   | en other                                                                                                                                                                                                                   |
| pt_BR  | actions.our.f                                     | en our                                                                                                                                                                                                                     |
| pt_BR  | actions.our.m                                     | en our                                                                                                                                                                                                                     |
| pt_BR  | actions.registered.f                              | en registered                                                                                                                                                                                                              |
