+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
|   en   | devise.failure.locked                                                        | Your account is locked.                                                                                                                                                                                                                                                                                                                                          |
|   en   | devise.failure.not_found_in_database                                         | Invalid email address or password.                                                                                                                                                                                                                                                                                                                               |
|   en   | devise.failure.timeout                                                       | Your session expired. Please sign in again to continue.                                                                                                                                                                                                                                                                                                          |
|   en   | devise.failure.unauthenticated                                               | You need to sign in or sign up before continuing.                                                                                                                                                                                                                                                                                                                |
|   en   | devise.failure.unconfirmed                                                   | You have to confirm your email address before continuing.                                                                                                                                                                                                                                                                                                        |
|   en   | devise.mailer.confirmation_instructions.subject                              | Confirmation instructions                                                                                                                                                                                                                                                                                                                                        |
|   en   | devise.mailer.reset_password_instructions.subject                            | Reset password instructions                                                                                                                                                                                                                                                                                                                                      |
|   en   | devise.mailer.unlock_instructions.subject                                    | Unlock instructions                                                                                                                                                                                                                                                                                                                                              |
|   en   | devise.omniauth_callbacks.failure                                            | Could not authenticate you from %{kind} because "%{reason}".                                                                                                                                                                                                                                                                                                     |
|   en   | devise.omniauth_callbacks.success                                            | Successfully authenticated from %{kind} account.                                                                                                                                                                                                                                                                                                                 |
|   en   | devise.passwords.no_token                                                    | You can't access this page without coming from a password reset email. If you do come from a password reset email, please make sure you used the full URL provided.                                                                                                                                                                                              |
|   en   | devise.passwords.send_instructions                                           | You will receive an email with instructions on how to reset your password in a few minutes.                                                                                                                                                                                                                                                                      |
|   en   | devise.passwords.send_paranoid_instructions                                  | If your email address exists in our database, you will receive a password recovery link at your email address in a few minutes.                                                                                                                                                                                                                                  |
|   en   | devise.passwords.updated                                                     | Your password has been changed successfully. You are now signed in.                                                                                                                                                                                                                                                                                              |
|   en   | devise.passwords.updated_not_active                                          | Your password has been changed successfully.                                                                                                                                                                                                                                                                                                                     |
|   en   | devise.registrations.destroyed                                               | Bye! Your account has been successfully cancelled. We hope to see you again soon.                                                                                                                                                                                                                                                                                |
|   en   | devise.registrations.signed_up                                               | Welcome! You have signed up successfully.                                                                                                                                                                                                                                                                                                                        |
|   en   | devise.registrations.signed_up_but_inactive                                  | You have signed up successfully. However, we could not sign you in because your account is not yet activated.                                                                                                                                                                                                                                                    |
|   en   | devise.registrations.signed_up_but_locked                                    | You have signed up successfully. However, we could not sign you in because your account is locked.                                                                                                                                                                                                                                                               |
|   en   | devise.registrations.signed_up_but_unconfirmed                               | A message with a confirmation link has been sent to your email address. Please follow the link to activate your account.                                                                                                                                                                                                                                         |
|   en   | devise.registrations.update_needs_confirmation                               | You updated your account successfully, but we need to verify your new email address. Please check your email and follow the confirm link to confirm your new email address.                                                                                                                                                                                      |
|   en   | devise.registrations.updated                                                 | Your account has been updated successfully.                                                                                                                                                                                                                                                                                                                      |
|   en   | devise.sessions.already_signed_out                                           | Signed out successfully.                                                                                                                                                                                                                                                                                                                                         |
|   en   | devise.sessions.signed_in                                                    | Signed in successfully.                                                                                                                                                                                                                                                                                                                                          |
|   en   | devise.sessions.signed_out                                                   | Signed out successfully.                                                                                                                                                                                                                                                                                                                                         |
|   en   | devise.unlocks.send_instructions                                             | You will receive an email with instructions for how to unlock your account in a few minutes.                                                                                                                                                                                                                                                                     |
|   en   | devise.unlocks.send_paranoid_instructions                                    | If your account exists, you will receive an email with instructions for how to unlock it in a few minutes.                                                                                                                                                                                                                                                       |
|   en   | devise.unlocks.unlocked                                                      | Your account has been unlocked successfully. Please sign in to continue.                                                                                                                                                                                                                                                                                         |
|   en   | edit                                                                         | edit                                                                                                                                                                                                                                                                                                                                                             |
|   en   | errors.format                                                                | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                          |
|   en   | errors.messages.accepted                                                     | must be agreed to                                                                                                                                                                                                                                                                                                                                                |
|   en   | errors.messages.already_confirmed                                            | was already confirmed, please try signing in                                                                                                                                                                                                                                                                                                                     |
|   en   | errors.messages.blank                                                        | must be present (may not be blank)                                                                                                                                                                                                                                                                                                                               |
|   en   | errors.messages.confirmation                                                 | does not match confirmation                                                                                                                                                                                                                                                                                                                                      |
|   en   | errors.messages.confirmation_period_expired                                  | needs to be confirmed within %{period}, please request a new one                                                                                                                                                                                                                                                                                                 |
|   en   | errors.messages.empty                                                        | may not be empty                                                                                                                                                                                                                                                                                                                                                 |
|   en   | errors.messages.equal_to                                                     | must equal %{count}                                                                                                                                                                                                                                                                                                                                              |
|   en   | errors.messages.even                                                         | must be even                                                                                                                                                                                                                                                                                                                                                     |
|   en   | errors.messages.exclusion                                                    | is reserved (taken)                                                                                                                                                                                                                                                                                                                                              |
|   en   | errors.messages.expired                                                      | has expired, please request a new one                                                                                                                                                                                                                                                                                                                            |
|   en   | errors.messages.greater_than                                                 | must be greather than %{count}                                                                                                                                                                                                                                                                                                                                   |
|   en   | errors.messages.greater_than_or_equal_to                                     | must be greather than or equal to %{count}                                                                                                                                                                                                                                                                                                                       |
|   en   | errors.messages.inclusion                                                    | is not included in the list                                                                                                                                                                                                                                                                                                                                      |
|   en   | errors.messages.invalid                                                      | is invalid                                                                                                                                                                                                                                                                                                                                                       |
